Nid,Title,Body,Path,Published,Language,Holiday Date,Holiday Type
24246,Christmas Eve,"Christmas Eve
",/content/christmas-eve,1,en,24-12-2012,Restricted
24247,Christmas,"Christmas
",/content/christmas,1,en,25-12-2012,Gazetted
80667,Republic Day,"Republic Day
",/content/republic-day-0,1,en,26-01-2011,Gazetted
80669,Maha Shivaratri,"Maha Shivaratri
",/content/maha-shivaratri-0,1,en,02-03-2011,Gazetted
80670,Ram Navami,"Ram Navami
",/content/ram-navami-0,1,en,12-04-2011,Gazetted
80671,Ambedkar Jayanti,"Ambedkar Jayanti
",/content/ambedkar-jayanti,1,en,14-04-2011,Gazetted
80672,Mahavir Jayanti,"Mahavir Jayanti
",/content/mahavir-jayanti-0,1,en,16-04-2011,Gazetted
80673,Good Friday,"Good Friday
",/content/good-friday-0,1,en,22-04-2011,Gazetted
80674,Buddha Purnima,"Buddha Purnima
",/content/buddha-purnima-0,1,en,17-05-2011,Gazetted
80675,Independence Day,"Independence Day
",/content/independence-day-0,1,en,15-08-2011,Gazetted
